itemid,vm.memory.size[total]_clock,num,value_min,vm.memory.size[total]_avg,value_max
41149,"14/02/2022,03:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,04:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,05:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,06:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,07:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,08:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,09:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,10:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,11:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,12:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,13:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,14:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,15:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,16:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,17:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,18:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,19:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,20:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,21:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,22:00",1,202836697088,202836697088,202836697088
41149,"14/02/2022,23:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,00:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,01:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,02:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,03:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,04:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,05:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,06:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,07:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,08:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,09:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,10:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,11:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,12:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,13:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,14:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,15:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,16:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,17:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,18:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,19:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,20:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,21:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,22:00",1,202836697088,202836697088,202836697088
41149,"15/02/2022,23:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,00:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,01:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,02:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,03:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,04:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,05:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,06:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,07:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,08:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,09:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,10:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,11:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,12:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,13:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,14:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,15:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,16:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,17:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,18:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,19:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,20:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,21:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,22:00",1,202836697088,202836697088,202836697088
41149,"16/02/2022,23:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,00:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,01:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,02:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,03:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,04:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,05:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,06:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,07:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,08:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,09:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,10:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,11:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,12:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,13:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,14:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,15:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,16:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,17:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,18:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,19:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,20:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,21:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,22:00",1,202836697088,202836697088,202836697088
41149,"17/02/2022,23:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,00:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,01:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,02:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,03:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,04:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,05:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,06:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,07:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,08:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,09:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,10:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,11:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,12:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,13:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,14:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,15:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,16:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,17:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,18:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,19:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,20:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,21:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,22:00",1,202836697088,202836697088,202836697088
41149,"18/02/2022,23:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,00:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,01:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,02:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,03:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,04:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,05:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,06:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,07:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,08:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,09:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,10:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,11:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,12:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,13:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,14:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,15:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,16:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,17:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,18:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,19:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,20:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,21:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,22:00",1,202836697088,202836697088,202836697088
41149,"19/02/2022,23:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,00:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,01:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,02:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,03:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,04:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,05:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,06:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,07:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,08:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,09:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,10:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,11:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,12:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,13:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,14:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,15:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,16:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,17:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,18:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,19:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,20:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,21:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,22:00",1,202836697088,202836697088,202836697088
41149,"20/02/2022,23:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,00:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,01:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,02:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,03:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,04:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,05:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,06:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,07:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,08:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,09:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,10:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,11:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,12:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,13:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,14:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,15:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,16:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,17:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,18:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,19:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,20:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,21:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,22:00",1,202836697088,202836697088,202836697088
41149,"21/02/2022,23:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,00:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,01:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,02:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,03:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,04:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,05:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,06:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,07:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,08:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,09:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,10:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,11:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,12:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,13:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,14:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,15:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,16:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,17:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,18:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,19:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,20:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,21:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,22:00",1,202836697088,202836697088,202836697088
41149,"22/02/2022,23:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,00:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,01:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,02:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,03:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,04:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,05:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,06:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,07:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,08:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,09:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,10:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,11:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,12:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,13:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,14:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,15:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,16:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,17:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,18:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,19:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,20:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,21:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,22:00",1,202836697088,202836697088,202836697088
41149,"23/02/2022,23:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,00:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,01:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,02:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,03:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,04:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,05:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,06:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,07:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,08:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,09:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,10:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,11:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,12:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,13:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,14:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,15:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,16:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,17:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,18:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,19:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,20:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,21:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,22:00",1,202836697088,202836697088,202836697088
41149,"24/02/2022,23:00",1,202836697088,202836697088,202836697088
41149,"25/02/2022,00:00",1,202836697088,202836697088,202836697088
41149,"25/02/2022,01:00",1,202836697088,202836697088,202836697088
41149,"25/02/2022,02:00",1,202836697088,202836697088,202836697088
41149,"25/02/2022,03:00",1,202836697088,202836697088,202836697088
41149,"25/02/2022,04:00",1,202836697088,202836697088,202836697088
41149,"25/02/2022,05:00",1,202836697088,202836697088,202836697088
41149,"25/02/2022,06:00",1,202836697088,202836697088,202836697088
41149,"25/02/2022,07:00",1,202836697088,202836697088,202836697088
41149,"25/02/2022,08:00",1,202836697088,202836697088,202836697088
41149,"25/02/2022,09:00",1,202836697088,202836697088,202836697088
41149,"25/02/2022,10:00",1,202836697088,202836697088,202836697088
41149,"25/02/2022,11:00",1,202836697088,202836697088,202836697088
